Date,Open,High,Low,Close,Adj Close,Volume
2014-06-01,194.160004,198.250000,193.160004,197.000000,170.304153,54947400
2014-07-01,197.479996,200.350006,194.250000,194.250000,168.706055,82463100
2014-08-01,193.820007,202.130005,191.779999,201.960007,175.402191,69403600
2014-09-01,202.320007,204.000000,197.360001,198.259995,172.188736,74723400
2014-10-01,198.039993,203.179993,183.130005,202.990005,177.122757,146917600
2014-11-01,203.220001,209.270004,201.389999,208.580002,182.000397,76428600
2014-12-01,207.809998,210.809998,199.160004,206.869995,180.508362,103425900
2015-01-01,207.839996,208.320007,199.949997,200.869995,176.196945,118708900
2015-02-01,201.479996,213.740005,199.270004,212.210007,186.144058,75698800
2015-03-01,212.270004,213.559998,205.500000,207.830002,182.302048,86463500
2015-04-01,207.770004,213.880005,205.880005,209.850006,184.951508,63797100
2015-05-01,210.809998,215.229996,208.149994,212.580002,187.357666,60318500
2015-06-01,213.350006,215.070007,206.550003,207.220001,182.633560,72808800
2015-07-01,209.080002,214.460007,205.369995,211.759995,187.668304,81920800
2015-08-01,211.699997,212.580002,147.210007,198.750000,176.138443,122805500
2015-09-01,194.279999,204.050003,187.970001,192.710007,170.785614,144909400
2015-10-01,193.139999,210.610001,190.190002,209.050003,186.300018,88753100
2015-11-01,209.520004,212.869995,203.309998,209.869995,187.030762,76601600
2015-12-01,210.639999,212.199997,201.100006,204.869995,182.574936,121423300
2016-01-01,201.470001,202.880005,181.899994,194.619995,174.594498,128904800
2016-02-01,193.470001,197.679993,182.020004,194.509995,174.495850,91278600
2016-03-01,196.020004,207.910004,195.470001,206.649994,185.386658,85476900
2016-04-01,205.410004,212.000000,204.130005,207.460007,186.113327,68685200
2016-05-01,208.009995,211.800003,203.800003,210.970001,189.262146,63986700
2016-06-01,210.250000,213.639999,199.789993,210.500000,188.840500,98665900
2016-07-01,210.550003,218.789993,208.250000,218.369995,196.836029,73630700
2016-08-01,218.470001,220.880005,215.809998,218.649994,197.088394,55835500
2016-09-01,218.639999,220.479996,213.539993,217.559998,196.105896,78615600
2016-10-01,217.029999,217.929993,212.410004,213.690002,193.595459,68309400
2016-11-01,214.130005,223.100006,209.570007,221.529999,200.698181,109801100
2016-12-01,221.970001,229.690002,220.419998,224.990005,203.832855,86689800
2017-01-01,226.399994,231.100006,225.240005,228.929993,208.589859,72403900
2017-02-01,229.690002,238.779999,228.220001,238.029999,216.881332,54673100
2017-03-01,239.860001,241.809998,233.100006,237.270004,216.188889,86817500
2017-04-01,237.270004,241.050003,234.020004,239.559998,219.231949,68086600
2017-05-01,240.190002,243.610001,236.910004,242.899994,222.288544,70586800
2017-06-01,243.470001,247.490005,241.580002,243.410004,222.755264,80916500
2017-07-01,244.500000,249.690002,241.960007,248.460007,228.413910,62486100
2017-08-01,249.149994,250.600006,243.449997,249.139999,229.039017,66556800
2017-09-01,249.630005,253.160004,246.619995,252.929993,232.523224,72157600
2017-10-01,253.190002,259.640015,253.110001,258.809998,239.147873,73525200
2017-11-01,259.790009,267.869995,257.380005,266.890015,246.614044,66256700
2017-12-01,266.609985,271.839996,262.570007,268.850006,248.425095,82593900
2018-01-01,269.839996,288.690002,269.369995,284.149994,263.799774,96340500
2018-02-01,283.160004,285.160004,254.770004,273.339996,253.764008,144526900
2018-03-01,273.459991,282.500000,259.609985,265.369995,246.364761,108264000
2018-04-01,264.369995,273.140015,256.429993,266.309998,248.353226,78628200
2018-05-01,265.779999,276.170013,260.809998,272.730011,254.340347,64312200
2018-06-01,274.320007,281.440002,270.320007,273.049988,254.638794,80036700
2018-07-01,271.359985,286.380005,271.100006,283.279999,265.419403,69121700
2018-08-01,283.459991,293.829987,281.119995,292.440002,274.001862,73454600
2018-09-01,291.940002,296.690002,288.769989,292.730011,274.273590,67037300
2018-10-01,294.299988,295.399994,261.850006,272.760010,256.676971,126650400
2018-11-01,273.660004,283.329987,265.019989,278.000000,261.608032,100760800
2018-12-01,282.429993,282.579987,235.460007,251.610001,236.774048,169406500
2019-01-01,247.539993,272.029999,245.080002,271.549988,257.281647,106743600
2019-02-01,271.799988,283.059998,269.470001,280.320007,265.590851,81751600
